Year,FB%,SL%,CT%,CB%,CH%,SF%,KN%
2011,0.67,0.21,0,0.05,0.08,0,0
2011,0.63,0.18,0,0.12,0.08,0,0
2011,0.65,0,0,0.28,0.08,0,0
2011,0.55,0.34,0,0.03,0.09,0,0
2011,0.59,0.24,0,0.08,0.09,0,0
2011,0.56,0.18,0.08,0.09,0.09,0,0
2011,0.51,0,0.27,0.13,0.09,0,0
2011,0.49,0,0.28,0.13,0.09,0,0
2011,0.56,0.19,0,0.17,0.09,0,0
2011,0.49,0.19,0,0.23,0.09,0,0
2011,0.57,0,0.04,0.31,0.09,0,0
2011,0.63,0.18,0,0.09,0.1,0,0
2011,0.61,0.2,0,0.1,0.1,0,0
2011,0.66,0.13,0,0.11,0.1,0,0
2011,0.6,0.19,0,0.11,0.1,0,0
2011,0.51,0.07,0.2,0.12,0.1,0,0
2011,0.48,0.26,0,0.15,0.1,0,0
2011,0.56,0,0.15,0.2,0.1,0,0
2011,0.53,0,0,0.37,0.1,0,0
2011,0.55,0.28,0,0.06,0.11,0,0
2011,0.36,0.15,0.32,0.07,0.11,0,0
2011,0.71,0.1,0,0.09,0.11,0,0
2011,0.61,0.17,0,0.12,0.11,0,0
2011,0.53,0.24,0,0.12,0.11,0,0
2011,0.57,0.17,0,0.15,0.11,0,0
2011,0.48,0,0.2,0.21,0.11,0,0
2011,0.56,0,0,0.33,0.11,0,0
2011,0.51,0.36,0,0.01,0.12,0,0
2011,0.65,0.2,0,0.03,0.12,0,0
2011,0.59,0.19,0,0.09,0.12,0,0
2011,0.67,0.11,0,0.1,0.12,0,0
2011,0.42,0.03,0.28,0.15,0.12,0,0
2011,0.5,0.19,0,0.19,0.12,0,0
2011,0.64,0.09,0.16,0,0.12,0,0
2011,0.72,0.11,0,0.04,0.13,0,0
2011,0.59,0.2,0,0.08,0.13,0,0
2011,0.54,0,0.23,0.11,0.13,0,0
2011,0.54,0.17,0.02,0.15,0.13,0,0
2011,0.64,0.05,0,0.18,0.13,0,0
2011,0.62,0.15,0,0.09,0.14,0,0
2011,0.57,0,0.16,0.13,0.14,0,0
2011,0.64,0.09,0,0.13,0.14,0,0
2011,0.51,0,0.18,0.17,0.14,0,0
2011,0.64,0.03,0,0.2,0.14,0,0
2011,0.57,0.18,0,0.11,0.15,0,0
2011,0.46,0.18,0,0.22,0.15,0,0
2011,0.52,0.22,0.11,0,0.15,0,0
2011,0.64,0.03,0.08,0.1,0.16,0,0
2011,0.53,0,0.21,0.1,0.16,0,0
2011,0.44,0.29,0,0.11,0.16,0,0
2011,0.57,0.08,0,0.18,0.16,0,0
2011,0.5,0.25,0.09,0,0.16,0,0
2011,0.62,0.14,0,0.07,0.17,0,0
2011,0.55,0.16,0,0.13,0.17,0,0
2011,0.71,0.12,0,0,0.17,0,0
2011,0.6,0.15,0,0.08,0.18,0,0
2011,0.54,0.21,0,0.08,0.18,0,0
2011,0.46,0.16,0.08,0.13,0.18,0,0
2011,0.52,0.17,0,0.13,0.18,0,0
2011,0.49,0.22,0.1,0,0.18,0,0
2011,0.68,0.13,0,0,0.18,0,0
2011,0.49,0,0.27,0.05,0.19,0,0
2011,0.59,0.16,0,0.06,0.19,0,0
2011,0.64,0.09,0,0.09,0.19,0,0
2011,0.61,0.11,0,0.1,0.19,0,0
2011,0.55,0.15,0,0.11,0.19,0,0
2011,0.61,0.01,0.09,0.09,0.2,0,0
2011,0.58,0.11,0,0.12,0.2,0,0
2011,0.61,0.18,0,0,0.2,0,0
2011,0.52,0.29,0,0,0.2,0,0
2011,0.45,0.04,0.2,0.09,0.22,0,0
2011,0.59,0.07,0,0.13,0.22,0,0
2011,0.54,0.1,0,0.15,0.22,0,0
2011,0.62,0.16,0,0,0.22,0,0
2011,0.53,0.19,0,0.06,0.23,0,0
2011,0.57,0.2,0,0,0.23,0,0
2011,0.53,0.16,0,0.07,0.24,0,0
2011,0.45,0,0.21,0.1,0.24,0,0
2011,0.61,0.16,0,0,0.24,0,0
2011,0.56,0.02,0.08,0.1,0.25,0,0
2011,0.34,0.11,0.16,0.14,0.25,0,0
2011,0.68,0,0,0.06,0.26,0,0
2011,0.53,0,0,0.21,0.26,0,0
2011,0.36,0,0.15,0.21,0.27,0,0
2011,0.47,0,0.19,0.06,0.28,0,0
2011,0.55,0.14,0.03,0,0.28,0,0
2011,0.55,0,0,0.14,0.31,0,0
2011,0.56,0,0.01,0.11,0.32,0,0
2011,0.46,0.06,0,0.13,0.35,0,0
2012,0.14,0,0,0,0.01,0,0.85
2012,0.58,0.16,0,0.09,0.13,0.05,0
2012,0.44,0,0.21,0.17,0.14,0.05,0
2012,0.47,0.14,0.18,0.14,0.01,0.06,0
2012,0.62,0.09,0.17,0,0.06,0.07,0
2012,0.58,0.21,0.02,0.11,0.02,0.08,0
2012,0.62,0.19,0,0.1,0,0.1,0
2012,0.34,0,0.32,0.23,0,0.11,0
2012,0.69,0.19,0,0,0,0.12,0
2012,0.5,0.3,0,0.06,0,0.14,0
2012,0.45,0.3,0.11,0,0,0.14,0
2012,0.45,0.24,0,0.17,0,0.15,0
2012,0.19,0,0.42,0.24,0,0.15,0
2012,0.4,0,0.36,0.06,0,0.18,0
2012,0.54,0.16,0.09,0.02,0,0.19,0
2012,0.45,0.11,0.2,0.03,0,0.22,0
2012,0.63,0.24,0,0.12,0.02,0,0
2012,0.55,0.3,0,0.14,0.02,0,0
2012,0.57,0.23,0,0.19,0.02,0,0
2012,0.74,0.22,0,0.01,0.03,0,0
2012,0.62,0.17,0,0.18,0.03,0,0
2012,0.54,0.14,0,0.29,0.03,0,0
2012,0.64,0.23,0,0.1,0.04,0,0
2012,0.62,0.23,0,0.11,0.04,0,0
2012,0.59,0.25,0,0.13,0.04,0,0
2012,0.49,0,0.28,0.19,0.04,0,0
2012,0.89,0.07,0,0,0.04,0,0
2012,0.5,0.19,0.2,0.06,0.05,0,0
2012,0.6,0.22,0.05,0.08,0.05,0,0
2012,0.53,0,0.26,0.15,0.05,0,0
2012,0.55,0.24,0,0.16,0.05,0,0
2012,0.61,0.08,0.09,0.17,0.05,0,0
2012,0.61,0,0.15,0.19,0.05,0,0
2012,0.64,0.04,0.2,0.07,0.06,0,0
2012,0.64,0.21,0,0.09,0.06,0,0
2012,0.58,0,0.21,0.14,0.06,0,0
2012,0.69,0.11,0,0.15,0.06,0,0
2012,0.45,0,0.3,0.19,0.06,0,0
2012,0.54,0.1,0.1,0.21,0.06,0,0
2012,0.42,0.13,0.14,0.25,0.06,0,0
2012,0.6,0,0,0.34,0.06,0,0
2012,0.6,0.22,0,0.1,0.07,0,0
2012,0.8,0,0,0.13,0.07,0,0
2012,0.79,0,0,0.14,0.07,0,0
2012,0.53,0.13,0.11,0.17,0.07,0,0
2012,0.7,0.05,0,0.18,0.07,0,0
2012,0.57,0.35,0,0,0.07,0,0
2012,0.57,0.37,0,0,0.07,0,0
2012,0.54,0.28,0.05,0.05,0.08,0,0
2012,0.43,0.39,0,0.1,0.08,0,0
2012,0.7,0.07,0,0.15,0.08,0,0
2012,0.71,0,0,0.21,0.08,0,0
2012,0.6,0.24,0,0.07,0.09,0,0
2012,0.71,0,0.12,0.09,0.09,0,0
2012,0.52,0.09,0.16,0.14,0.09,0,0
2012,0.46,0.1,0.24,0.09,0.1,0,0
2012,0.62,0.19,0,0.1,0.1,0,0
2012,0.65,0.13,0,0.12,0.1,0,0
2012,0.65,0.04,0.02,0.18,0.1,0,0
2012,0.54,0,0.14,0.22,0.1,0,0
2012,0.66,0,0,0.24,0.1,0,0
2012,0.53,0,0.1,0.28,0.1,0,0
2012,0.47,0.09,0.31,0.03,0.11,0,0
2012,0.51,0.15,0.11,0.12,0.11,0,0
2012,0.47,0.09,0.2,0.13,0.11,0,0
2012,0.51,0.18,0,0.2,0.11,0,0
2012,0.37,0.33,0,0.2,0.11,0,0
2012,0.6,0,0,0.29,0.11,0,0
2012,0.59,0,0,0.31,0.11,0,0
2012,0.72,0.14,0,0.01,0.12,0,0
2012,0.61,0.21,0.01,0.06,0.12,0,0
2012,0.61,0,0.16,0.11,0.12,0,0
2012,0.52,0,0.22,0.14,0.12,0,0
2012,0.54,0.26,0,0.07,0.13,0,0
2012,0.64,0.08,0,0.15,0.13,0,0
2012,0.57,0,0.12,0.18,0.13,0,0
2012,0.48,0,0.21,0.18,0.13,0,0
2012,0.38,0.23,0.07,0.19,0.13,0,0
2012,0.53,0.14,0,0.2,0.13,0,0
2012,0.64,0.13,0.1,0,0.13,0,0
2012,0.67,0.15,0,0.04,0.14,0,0
2012,0.65,0.15,0,0.06,0.14,0,0
2012,0.62,0.13,0,0.11,0.14,0,0
2012,0.41,0.3,0,0.14,0.14,0,0
2012,0.55,0.26,0.05,0,0.14,0,0
2012,0.6,0.26,0,0,0.14,0,0
2012,0.59,0.14,0,0.12,0.15,0,0
2012,0.42,0.3,0,0.13,0.15,0,0
2012,0.71,0,0,0.15,0.15,0,0
2012,0.64,0,0.06,0.16,0.15,0,0
2012,0.54,0.01,0.2,0.09,0.16,0,0
2012,0.51,0.2,0,0.14,0.16,0,0
2012,0.65,0,0,0.19,0.16,0,0
2012,0.69,0.11,0.04,0,0.16,0,0
2012,0.66,0.01,0.08,0.08,0.17,0,0
2012,0.56,0.12,0,0.15,0.17,0,0
2012,0.66,0,0,0.17,0.17,0,0
2012,0.54,0.22,0.05,0.01,0.18,0,0
2012,0.57,0,0.17,0.08,0.18,0,0
2012,0.47,0.11,0.13,0.1,0.18,0,0
2012,0.56,0.13,0,0.13,0.18,0,0
2012,0.6,0,0,0.22,0.18,0,0
2012,0.62,0.11,0.1,0,0.18,0,0
2012,0.5,0.33,0,0,0.18,0,0
2012,0.53,0.23,0,0.04,0.19,0,0
2012,0.63,0.11,0,0.07,0.19,0,0
2012,0.45,0,0.22,0.14,0.19,0,0
2012,0.48,0.23,0,0.1,0.2,0,0
2012,0.52,0.17,0,0.11,0.2,0,0
