count.balls,count.outs,count.pitch_count,count.strikes,day,description,errors,flags.is_ab_over,flags.is_bunt,flags.is_bunt_shown,flags.is_double_play,flags.is_hit,flags.is_passed_ball,flags.is_triple_play,flags.is_wild_pitch,half,hit_location,hit_type,hitter.first_name,hitter.id,hitter.last_name,hitter.preferred_name,inning,month,outcome_id,pitcher.first_name,pitcher.hitter_hand,pitcher.id,pitcher.last_name,pitcher.pitch_count,pitcher.pitch_speed,pitcher.pitch_type,pitcher.pitch_x,pitcher.pitch_y,pitcher.pitch_zone,pitcher.pitcher_hand,pitcher.preferred_name,pitcher_id,runner_1.description,runner_1.ending_base,runner_1.fielders,runner_1.first_name,runner_1.id,runner_1.jersey_number,runner_1.last_name,runner_1.out,runner_1.outcome_id,runner_1.preferred_name,runner_1.starting_base,runner_2.ending_base,runner_2.out,runner_2.outcome_id,runner_2.starting_base,runner_3.ending_base,runner_3.out,runner_3.outcome_id,runner_3.starting_base,runner_4.ending_base,runner_4.out,runner_4.outcome_id,runner_4.starting_base,year
0,2,1,1,02,Madison Bumgarner walks.,,False,False,False,False,False,False,False,False,T,,,,,,,2,04,kF,Zack,R,ba554801-7322-487c-a998-74fd132712e8,Greinke,35,92.0,FA,-58,13,4,R,,ba554801-7322-487c-a998-74fd132712e8,,,,,,,,,,,,,,,,,,,,,,,,2017
1,2,2,1,02,Madison Bumgarner walks.,,False,False,False,False,False,False,False,False,T,,,,,,,2,04,bB,Zack,R,ba554801-7322-487c-a998-74fd132712e8,Greinke,36,82.0,SL,-117,-82,13,R,,ba554801-7322-487c-a998-74fd132712e8,,,,,,,,,,,,,,,,,,,,,,,,2017
1,2,3,2,02,Madison Bumgarner walks.,,False,False,False,False,False,False,False,False,T,,,,,,,2,04,kKS,Zack,R,ba554801-7322-487c-a998-74fd132712e8,Greinke,37,85.0,CH,-223,-91,13,R,,ba554801-7322-487c-a998-74fd132712e8,,,,,,,,,,,,,,,,,,,,,,,,2017
2,2,4,2,02,Madison Bumgarner walks.,,False,False,False,False,False,False,False,False,T,,,,,,,2,04,bB,Zack,R,ba554801-7322-487c-a998-74fd132712e8,Greinke,38,87.0,CH,-170,-95,13,R,,ba554801-7322-487c-a998-74fd132712e8,,,,,,,,,,,,,,,,,,,,,,,,2017
3,2,5,2,02,Madison Bumgarner walks.,,False,False,False,False,False,False,False,False,T,,,,,,,2,04,bB,Zack,R,ba554801-7322-487c-a998-74fd132712e8,Greinke,39,94.0,FA,-141,130,13,R,,ba554801-7322-487c-a998-74fd132712e8,,,,,,,,,,,,,,,,,,,,,,,,2017
3,2,6,2,02,Madison Bumgarner walks.,,False,False,False,False,False,False,False,False,T,,,,,,,2,04,kF,Zack,R,ba554801-7322-487c-a998-74fd132712e8,Greinke,40,82.0,SL,47,4,6,R,,ba554801-7322-487c-a998-74fd132712e8,,,,,,,,,,,,,,,,,,,,,,,,2017
4,2,7,2,02,Madison Bumgarner walks.,,True,False,False,False,False,False,False,False,T,,,,,,,2,04,bB,Zack,R,ba554801-7322-487c-a998-74fd132712e8,Greinke,41,75.0,CU,-182,-108,13,R,,ba554801-7322-487c-a998-74fd132712e8,,1.0,,Madison,f05364d7-024b-4699-b947-c8bb42c968bc,40,Bumgarner,False,AD1,Madison,0.0,,,,,,,,,,,,,2017
1,2,1,0,02,"Denard Span grounds out to first base, Paul Goldschmidt to Zack Greinke.",,False,False,False,False,False,False,False,False,T,,,,,,,2,04,bB,Zack,L,ba554801-7322-487c-a998-74fd132712e8,Greinke,42,90.0,FA,-58,121,10,R,,ba554801-7322-487c-a998-74fd132712e8,,1.0,,Madison,f05364d7-024b-4699-b947-c8bb42c968bc,40,Bumgarner,False,,Madison,1.0,,,,,,,,,,,,,2017
2,2,2,0,02,"Denard Span grounds out to first base, Paul Goldschmidt to Zack Greinke.",,False,False,False,False,False,False,False,False,T,,,,,,,2,04,bB,Zack,L,ba554801-7322-487c-a998-74fd132712e8,Greinke,43,88.0,CH,-17,-147,12,R,,ba554801-7322-487c-a998-74fd132712e8,,1.0,,Madison,f05364d7-024b-4699-b947-c8bb42c968bc,40,Bumgarner,False,,Madison,1.0,,,,,,,,,,,,,2017
2,3,3,0,02,"Denard Span grounds out to first base, Paul Goldschmidt to Zack Greinke.",,True,False,False,False,False,False,False,False,T,24,GB,,,,,2,04,oGO,Zack,L,ba554801-7322-487c-a998-74fd132712e8,Greinke,44,91.0,FA,-17,-78,8,R,,ba554801-7322-487c-a998-74fd132712e8,,1.0,,Madison,f05364d7-024b-4699-b947-c8bb42c968bc,40,Bumgarner,False,,Madison,1.0,,,,,,,,,,,,,2017
