Empty,count.balls,count.outs,count.pitch_count,count.strikes,day,description,errors,flags.is_ab_over,flags.is_bunt,flags.is_bunt_shown,flags.is_double_play,flags.is_hit,flags.is_passed_ball,flags.is_triple_play,flags.is_wild_pitch,half,hit_location,hit_type,hitter.first_name,hitter.id,hitter.last_name,hitter.preferred_name,inning,month,outcome_id,pitcher.first_name,pitcher.hitter_hand,pitcher.id,pitcher.last_name,pitcher.pitch_count,pitcher.pitch_speed,pitcher.pitch_type,pitcher.pitch_x,pitcher.pitch_y,pitcher.pitch_zone,pitcher.pitcher_hand,pitcher.preferred_name,pitcher_id,runner_1.description,runner_1.ending_base,runner_1.fielders,runner_1.first_name,runner_1.id,runner_1.jersey_number,runner_1.last_name,runner_1.out,runner_1.outcome_id,runner_1.preferred_name,runner_1.starting_base,runner_2.ending_base,runner_2.out,runner_2.outcome_id,runner_2.starting_base,runner_3.ending_base,runner_3.out,runner_3.outcome_id,runner_3.starting_base,runner_4.ending_base,runner_4.out,runner_4.outcome_id,runner_4.starting_base,weather.current_conditions.cloud_cover,weather.current_conditions.condition,weather.current_conditions.dew_point_f,weather.current_conditions.humidity,weather.current_conditions.obs_time,weather.current_conditions.temp_f,weather.current_conditions.wind.direction,weather.current_conditions.wind.speed_mph,year
,0.0,3.0,1.0,0.0,07,"Shin-Soo Choo grounds out to second base, Dixon Machado to John Hicks.",,True,False,False,False,False,False,False,False,B,23,GB,Shin-Soo,15a51291-6254-4207-9139-ee1ddee1856a,Choo,Shin-Soo,3.0,05,oGO,Michael,L,ec504c95-8a64-46ad-91ae-850c6e7350db,Fulmer,36.0,89.0,CH,105.0,-8.0,11.0,R,Michael,ec504c95-8a64-46ad-91ae-850c6e7350db,,,,,,,,,,,,,,,,,,,,,,,,0.0,Sunny,56.0,32.0,2018-05-08T00:50:20.000Z,90.0,SSE,8.0,2018
,0.0,0.0,1.0,1.0,07,"Jurickson Profar grounds out to second base, John Hicks to Michael Fulmer.",,False,False,False,False,False,False,False,False,B,,,Jurickson,75ba17fd-160d-4695-86af-7c614cb8f264,Profar,Jurickson,4.0,05,kKL,Michael,L,ec504c95-8a64-46ad-91ae-850c6e7350db,Fulmer,37.0,95.0,FA,-41.0,43.0,1.0,R,Michael,ec504c95-8a64-46ad-91ae-850c6e7350db,,,,,,,,,,,,,,,,,,,,,,,,0.0,Sunny,56.0,32.0,2018-05-08T01:07:03.000Z,90.0,SSE,8.0,2018
,0.0,1.0,2.0,1.0,07,"Jurickson Profar grounds out to second base, John Hicks to Michael Fulmer.",,True,False,False,False,False,False,False,False,B,23,GB,Jurickson,75ba17fd-160d-4695-86af-7c614cb8f264,Profar,Jurickson,4.0,05,oGO,Michael,L,ec504c95-8a64-46ad-91ae-850c6e7350db,Fulmer,38.0,95.0,FA,-135.0,52.0,13.0,R,Michael,ec504c95-8a64-46ad-91ae-850c6e7350db,,,,,,,,,,,,,,,,,,,,,,,,0.0,Sunny,56.0,32.0,2018-05-08T01:07:03.000Z,90.0,SSE,8.0,2018
,1.0,1.0,1.0,0.0,07,Nomar Mazara walks.,,False,False,False,False,False,False,False,False,B,,,Nomar,141d06a7-bef6-4d75-8bcb-7ed64be0d16e,Mazara,Nomar,4.0,05,bB,Michael,L,ec504c95-8a64-46ad-91ae-850c6e7350db,Fulmer,39.0,97.0,FA,-41.0,160.0,10.0,R,Michael,ec504c95-8a64-46ad-91ae-850c6e7350db,,,,,,,,,,,,,,,,,,,,,,,,0.0,Sunny,56.0,32.0,2018-05-08T01:07:03.000Z,90.0,SSE,8.0,2018
,2.0,1.0,2.0,0.0,07,Nomar Mazara walks.,,False,False,False,False,False,False,False,False,B,,,Nomar,141d06a7-bef6-4d75-8bcb-7ed64be0d16e,Mazara,Nomar,4.0,05,bB,Michael,L,ec504c95-8a64-46ad-91ae-850c6e7350db,Fulmer,40.0,96.0,FA,-152.0,-78.0,13.0,R,Michael,ec504c95-8a64-46ad-91ae-850c6e7350db,,,,,,,,,,,,,,,,,,,,,,,,0.0,Sunny,56.0,32.0,2018-05-08T01:07:03.000Z,90.0,SSE,8.0,2018
,2.0,1.0,3.0,1.0,07,Nomar Mazara walks.,,False,False,False,False,False,False,False,False,B,,,Nomar,141d06a7-bef6-4d75-8bcb-7ed64be0d16e,Mazara,Nomar,4.0,05,kKL,Michael,L,ec504c95-8a64-46ad-91ae-850c6e7350db,Fulmer,41.0,96.0,FA,5.0,-65.0,8.0,R,Michael,ec504c95-8a64-46ad-91ae-850c6e7350db,,,,,,,,,,,,,,,,,,,,,,,,0.0,Sunny,56.0,32.0,2018-05-08T01:07:03.000Z,90.0,SSE,8.0,2018
,2.0,1.0,4.0,2.0,07,Nomar Mazara walks.,,False,False,False,False,False,False,False,False,B,,,Nomar,141d06a7-bef6-4d75-8bcb-7ed64be0d16e,Mazara,Nomar,4.0,05,kF,Michael,L,ec504c95-8a64-46ad-91ae-850c6e7350db,Fulmer,42.0,97.0,FA,-88.0,-26.0,4.0,R,Michael,ec504c95-8a64-46ad-91ae-850c6e7350db,,,,,,,,,,,,,,,,,,,,,,,,0.0,Sunny,56.0,32.0,2018-05-08T01:07:03.000Z,90.0,SSE,8.0,2018
,3.0,1.0,5.0,2.0,07,Nomar Mazara walks.,,False,False,False,False,False,False,False,False,B,,,Nomar,141d06a7-bef6-4d75-8bcb-7ed64be0d16e,Mazara,Nomar,4.0,05,bB,Michael,L,ec504c95-8a64-46ad-91ae-850c6e7350db,Fulmer,43.0,97.0,FA,-164.0,-86.0,13.0,R,Michael,ec504c95-8a64-46ad-91ae-850c6e7350db,,,,,,,,,,,,,,,,,,,,,,,,0.0,Sunny,56.0,32.0,2018-05-08T01:07:03.000Z,90.0,SSE,8.0,2018
,4.0,1.0,6.0,2.0,07,Nomar Mazara walks.,,True,False,False,False,False,False,False,False,B,,,Nomar,141d06a7-bef6-4d75-8bcb-7ed64be0d16e,Mazara,Nomar,4.0,05,bB,Michael,L,ec504c95-8a64-46ad-91ae-850c6e7350db,Fulmer,44.0,96.0,FA,-135.0,-65.0,13.0,R,Michael,ec504c95-8a64-46ad-91ae-850c6e7350db,,1.0,,Nomar,141d06a7-bef6-4d75-8bcb-7ed64be0d16e,30,Mazara,False,AD1,Nomar,0.0,,,,,,,,,,,,,0.0,Sunny,56.0,32.0,2018-05-08T01:07:03.000Z,90.0,SSE,8.0,2018
,0.0,1.0,1.0,1.0,07,Joey Gallo strikes out swinging.,,False,False,False,False,False,False,False,False,B,,,Joseph,6134a0ed-a538-4f2b-afd4-84e90a4c9022,Gallo,Joey,4.0,05,kKS,Michael,L,ec504c95-8a64-46ad-91ae-850c6e7350db,Fulmer,45.0,86.0,CH,94.0,-156.0,12.0,R,Michael,ec504c95-8a64-46ad-91ae-850c6e7350db,,1.0,,Nomar,141d06a7-bef6-4d75-8bcb-7ed64be0d16e,30,Mazara,False,,Nomar,1.0,,,,,,,,,,,,,0.0,Sunny,56.0,32.0,2018-05-08T01:07:03.000Z,90.0,SSE,8.0,2018
